name,team,position,draft_status,draft_price,draft_team,points,rebounds,assists,steals,blocks,fantasy_rank
Nikola Jokic,DEN,C,available,0,,26.4,12.4,9.0,1.3,0.7,1
Luka Doncic,DAL,PG,drafted,45,Team C,32.4,8.6,9.1,1.4,0.5,2
Jayson Tatum,BOS,SF,available,0,,26.9,8.1,4.9,1.0,0.6,3
Shai Gilgeous-Alexander,OKC,PG,available,0,,30.1,5.5,6.2,2.0,0.9,4
Anthony Davis,LAL,PF,available,0,,24.7,12.6,3.5,1.2,2.3,5
Giannis Antetokounmpo,MIL,PF,available,0,,31.1,11.5,6.0,1.2,1.1,6
Joel Embiid,PHI,C,available,0,,34.7,11.0,5.6,1.2,1.7,7
Jaylen Brown,BOS,SG,available,0,,23.0,5.5,3.6,1.2,0.5,8
Donovan Mitchell,CLE,SG,available,0,,28.3,4.6,4.3,1.8,0.4,9
De'Aaron Fox,SAC,PG,available,0,,29.1,4.2,5.6,2.0,0.4,10
