name,team,position,games_played,minutes_per_game,points,rebounds,assists,steals,blocks,field_goal_pct,three_point_pct,free_throw_pct,fantasy_value,fantasy_rank,player_id,draft_status,draft_price,draft_team
Nikola Jokić,DEN,C,70.0,36.7,29.6,12.7,10.2,1.8,0.6,0.576,0.417,0.8,84.83366666666666,1,222815,available,0,
Shai Gilgeous-Alexander,OKC,PG,76.0,34.2,32.7,5.0,6.4,1.7,1.0,0.519,0.375,0.898,67.1616,2,521756,available,0,
Domantas Sabonis,SAC,C,70.0,34.7,19.1,13.9,6.0,0.7,0.4,0.59,0.417,0.754,64.64346666666665,3,113365,available,0,
Giannis Antetokounmpo,MIL,PF,67.0,34.2,30.4,11.9,6.5,0.9,1.2,0.601,0.222,0.617,62.50840000000001,4,518804,available,0,
Karl-Anthony Towns,NYK,C,72.0,35.0,24.4,12.8,3.1,1.0,0.7,0.526,0.42,0.829,61.55,5,36761,available,0,
Victor Wembanyama,SAS,C,46.0,33.2,24.3,11.0,3.7,1.1,3.8,0.476,0.352,0.836,60.10719999999999,6,463254,available,0,
Kevin Durant,PHO,PF,62.0,36.5,26.6,6.0,4.2,0.8,1.2,0.527,0.43,0.839,59.75099999999999,7,154038,available,0,
Anthony Davis,LAL,C,42.0,34.3,25.7,11.9,3.4,1.3,2.1,0.528,0.298,0.788,58.92723333333334,8,371643,available,0,
LeBron James,LAL,SF,70.0,34.9,24.4,7.8,8.2,1.0,0.6,0.513,0.376,0.782,57.153633333333325,9,504017,available,0,
Luka Dončić,DAL,PG,22.0,35.7,28.1,8.3,7.8,2.0,0.4,0.464,0.354,0.767,55.72240000000001,10,711494,available,0,
Anthony Davis,2TM,C,51.0,33.5,24.7,11.6,3.5,1.2,2.2,0.516,0.282,0.775,54.96333333333334,11,371643,available,0,
Cade Cunningham,DET,PG,70.0,35.0,26.1,6.1,9.1,1.0,0.8,0.469,0.356,0.846,54.72166666666666,12,505429,available,0,
Luka Dončić,2TM,PG,50.0,35.4,28.2,8.2,7.7,1.8,0.4,0.45,0.368,0.782,54.6678,13,711494,available,0,
Luka Dončić,LAL,PG,28.0,35.1,28.2,8.1,7.5,1.6,0.4,0.438,0.379,0.791,53.2161,14,711494,available,0,
Kyrie Irving,DAL,SG,50.0,36.1,24.7,4.8,4.6,1.3,0.5,0.473,0.401,0.916,50.79826666666666,15,593096,available,0,
Zach LaVine,CHI,SF,42.0,34.1,24.0,4.8,4.5,0.9,0.2,0.511,0.446,0.797,50.22186666666668,16,75104,available,0,
Kai Jones,DAL,C,12.0,21.7,11.4,6.6,1.3,0.8,0.8,0.836,0.333,0.7,50.01233333333332,17,601596,available,0,
Evan Mobley,CLE,PF,71.0,30.5,18.5,9.3,3.2,0.9,1.6,0.557,0.37,0.725,49.890000000000015,18,304631,available,0,
Nikola Vučević,CHI,C,73.0,31.2,18.5,10.1,3.5,0.8,0.7,0.53,0.402,0.805,49.833999999999996,19,156515,available,0,
Zach LaVine,2TM,SG,74.0,35.2,23.3,4.3,4.2,0.8,0.2,0.511,0.446,0.825,49.49333333333334,20,75104,available,0,
Jayson Tatum,BOS,PF,72.0,36.4,26.8,8.7,6.0,1.1,0.5,0.452,0.343,0.814,49.3656,21,70896,available,0,
Damian Lillard,MIL,PG,58.0,36.1,24.9,4.7,7.1,1.2,0.2,0.448,0.376,0.921,49.096266666666665,22,827801,available,0,
Jakob Poeltl,TOR,C,57.0,29.6,14.5,9.6,2.8,1.2,1.2,0.627,0.333,0.674,48.68773333333334,23,678073,available,0,
Jalen Brunson,NYK,PG,65.0,35.4,26.0,2.9,7.3,0.9,0.1,0.488,0.383,0.821,48.657399999999996,24,671665,available,0,
Zach LaVine,SAC,SG,32.0,36.6,22.4,3.5,3.8,0.6,0.1,0.511,0.446,0.874,48.393399999999986,25,75104,available,0,
Anthony Edwards,MIN,SG,79.0,36.3,27.6,5.7,4.5,1.2,0.6,0.447,0.395,0.837,48.296099999999996,26,324923,available,0,
Stephen Curry,GSW,PG,70.0,32.2,24.5,4.4,6.0,1.1,0.4,0.448,0.397,0.933,48.09926666666667,27,199311,available,0,
